,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutron irradiated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To be neutron irradiated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-ray irradiated,,,,,,,,,,,,,,,,Table to be used until diced,,,,,,"Currently all half moons at CERN are not diced, except the few used for X-ray campaign",,,,,,,,,,,,,
To be X-ray irradiated,,,,,,,,Full sensors,,,,,,,,Half moons (non-diced),,,,,, MOS+GCD,,Strip sensors,,Diodes (no p-stop),,,,,,PQC,,HPK structures,
Shipment to HPK week 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken/ sacrificed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor ID,Scratch pad ID,Thick- ness,P- Stop,Oxide type,Flat band volt. (V),P- Stop conc.,Proc.,Status in view of dicing frame removal,Current location,RINSC plan,Pre- irrad. test on DF,Pre- irrad. test off DF,Sent to RINSC?,RINSC irrad. round,Post irrad. test,UL,UR,LL,LR,Top,Bottom,"TS UL MOS, GCD","TS LR MOS, GCD",TS UR HGCAL mini Strip,TS LL Tracker like Strip (no p-stop split),TS UL Diodes (3 diodes),TS UR Diodes (2 diodes),TS UR Diodes (3 diodes),TS LL Diodes (2 diodes),TS LL Diodes (3 diodes),TS LR Diodes (3 diodes),TS UL PQC,TS LR PQC,TS Top,TS bottom
N4792_2,200089,200,com,A,-5,STD,FZ,on DF,FSU,,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4792_3,200089(90?),200,com,A,-5,STD,FZ,on DF,CERN,,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4792_4,200089(91?),200,com,A,-5,STD,FZ,off DF,CERN,,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4790_7,200075,200,com,B,-2,STD,FZ,on DF,FSU --> BROWN,RINSC 4.0E15,,"Done, FSU",,3,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4790_8,200076,200,com,B,-2,STD,FZ,off DF,FSU --> BROWN,RINSC 5.5E15,"Done, FSU","TBD, FSU",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4790_9,200077,200,com,B,-2,STD,FZ,off DF,FSU --> BROWN,RINSC 4.0E15,"Done, FSU","TBD, FSU",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
N4790_10,200078,200,com,B,-2,STD,FZ,off DF,CERN,RINSC 5.5E15,,"Done, CERN",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4790_11,200079,200,com,B,-2,STD,FZ,off DF,CERN,non.irr. ref.,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4790_12,200080,200,com,B,-2,STD,FZ,off DF,CERn,,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4792_6,200092,200,com,C,-2,STD,FZ,removed from DF,FSU --> BROWN,RINSC 4.0E15,,"Done, FSU",,3,,HPK,HPK,HPK,HPK,HPK,HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU non-diced->HPK,FSU,FSU
